Subject	journal	impact_factor	Cas
ACOUSTICS	ULTRASONICS SONOCHEMISTRY	7.279 	Q1
ACOUSTICS	ULTRASOUND IN OBSTETRICS & GYNECOLOGY	5.595 	Q1
ACOUSTICS	ULTRASCHALL IN DER MEDIZIN	4.613 	Q3
ACOUSTICS	IEEE-ACM Transactions on Audio Speech and Language Processing	3.531 	Q2
ACOUSTICS	JOURNAL OF SOUND AND VIBRATION	3.123 	Q1
ACOUSTICS	IEEE TRANSACTIONS ON ULTRASONICS FERROELECTRICS AND FREQUENCY CONTROL	2.989 	Q1
ACOUSTICS	JOURNAL OF VIBRATION AND CONTROL	2.865 	Q2
ACOUSTICS	ULTRASONICS	2.598 	Q2
ACOUSTICS	ULTRASONIC IMAGING	2.490 	Q3
ACOUSTICS	APPLIED ACOUSTICS	2.297 	Q2
ACOUSTICS	ULTRASOUND IN MEDICINE AND BIOLOGY	2.205 	Q2
ACOUSTICS	JOURNAL OF VIBRATION AND ACOUSTICS-TRANSACTIONS OF THE ASME	1.929 	Q2
ACOUSTICS	JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA	1.819 	Q2
ACOUSTICS	JOURNAL OF ULTRASOUND IN MEDICINE	1.718 	Q2
ACOUSTICS	Medical Ultrasonography	1.674 	Q3
ACOUSTICS	SPEECH COMMUNICATION	1.661 	Q3
ACOUSTICS	SHOCK AND VIBRATION	1.628 	Q3
ACOUSTICS	WAVE MOTION	1.576 	Q3
ACOUSTICS	EURASIP Journal on Audio Speech and Music Processing	1.244 	Q4
ACOUSTICS	JOURNAL OF COMPUTATIONAL ACOUSTICS	1.217 	Q4
ACOUSTICS	ACTA ACUSTICA UNITED WITH ACUSTICA	1.037 	Q3
ACOUSTICS	JOURNAL OF THE AUDIO ENGINEERING SOCIETY	0.927 	Q3
ACOUSTICS	Archives of Acoustics	0.899 	Q4
ACOUSTICS	International Journal of Aeroacoustics	0.866 	Q4
ACOUSTICS	ACOUSTICAL PHYSICS	0.860 	Q4
ACOUSTICS	PHONETICA	0.826 	Q4
ACOUSTICS	JOURNAL OF CLINICAL ULTRASOUND	0.820 	Q4
ACOUSTICS	Acoustics Australia	0.630 	Q4
ACOUSTICS	International Journal of Acoustics and Vibration	0.578 	Q4
ACOUSTICS	NOISE CONTROL ENGINEERING JOURNAL	0.487 	Q4
ACOUSTICS	Journal of Theoretical and Computational Acoustics		Q4
AGRICULTURAL ECONOMICS & POLICY	FOOD POLICY	3.788 	Q1
AGRICULTURAL ECONOMICS & POLICY	Annual Review of Resource Economics	2.978 	Q3
AGRICULTURAL ECONOMICS & POLICY	AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS	2.532 	Q1
AGRICULTURAL ECONOMICS & POLICY	JOURNAL OF AGRICULTURAL ECONOMICS	2.506 	Q1
AGRICULTURAL ECONOMICS & POLICY	AGRICULTURAL ECONOMICS	2.423 	Q2
AGRICULTURAL ECONOMICS & POLICY	EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS	2.419 	Q2
AGRICULTURAL ECONOMICS & POLICY	Applied Economic Perspectives and Policy	1.938 	Q3
AGRICULTURAL ECONOMICS & POLICY	Agribusiness	1.635 	Q2
AGRICULTURAL ECONOMICS & POLICY	Journal of Wine Economics	1.522 	Q4
AGRICULTURAL ECONOMICS & POLICY	AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS	1.370 	Q3
AGRICULTURAL ECONOMICS & POLICY	JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS	1.192 	Q3
AGRICULTURAL ECONOMICS & POLICY	China Agricultural Economic Review	1.050 	Q4
