Name,Impact_factor,Journal,PDF,Url,Date_published,Date_added,Title
2017-vConTACT - an iVirus tool to classify double-stranded DNA viruses that infect Archaea and Bacteria_Bolduc_PeerJ,2.4,PeerJ,http://jinlong.local:8668/zotero_papers/2017-vConTACT%20-%20an%20iVirus%20tool%20to%20classify%20double-stranded%20DNA%20viruses%20that%20infect%20Archaea%20and%20Bacteria_Bolduc_PeerJ.pdf,https://peerj.com/articles/3243,2017-05-03,2019-08-08,vConTACT: an iVirus tool to classify double-stranded DNA viruses that infect Archaea and Bacteria
"2015-Viromes, Not Gene Markers, for Studying Double-Stranded DNA Virus Communities_Sullivan_Journal of Virology",4.5,Journal of Virology,http://jinlong.local:8668/zotero_papers/2015-Viromes%2C%20Not%20Gene%20Markers%2C%20for%20Studying%20Double-Stranded%20DNA%20Virus%20Communities_Sullivan_Journal%20of%20Virology.pdf,http://jvi.asm.org/lookup/doi/10.1128/JVI.03289-14,2015-03-01,2019-08-08,"Viromes, Not Gene Markers, for Studying Double-Stranded DNA Virus Communities"
2017-Virus taxonomy in the age of metagenomics_Simmonds_Nature Reviews Microbiology,34.2,Nature Reviews Microbiology,http://jinlong.local:8668/zotero_papers/2017-Virus%20taxonomy%20in%20the%20age%20of%20metagenomics_Simmonds_Nature%20Reviews%20Microbiology.pdf,http://www.nature.com/articles/nrmicro.2016.177,2017-03-01,2019-08-08,Virus taxonomy in the age of metagenomics
2015-Biodegradation - Updating the Concepts of Control for Microbial Cleanup in Contaminated Aquifers_Meckenstock_Environmental Science & Technology,7.9,Environmental Science & Technology,http://jinlong.local:8668/zotero_papers/2015-Biodegradation%20-%20Updating%20the%20Concepts%20of%20Control%20for%20Microbial%20Cleanup%20in%20Contaminated%20Aquifers_Meckenstock_Environmental%20Science%20%26%20Technology.pdf,http://pubs.acs.org/doi/10.1021/acs.est.5b00715,2015-06-16,2019-08-09,Biodegradation: Updating the Concepts of Control for Microbial Cleanup in Contaminated Aquifers
2017-Environmental drivers of viral community composition in Antarctic soils identified by viromics_Adriaenssens_Microbiome,11.6,Microbiome,http://jinlong.local:8668/zotero_papers/2017-Environmental%20drivers%20of%20viral%20community%20composition%20in%20Antarctic%20soils%20identified%20by%20viromics_Adriaenssens_Microbiome.pdf,http://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-017-0301-7,2017-12-01,2019-08-09,Environmental drivers of viral community composition in Antarctic soils identified by viromics
2012-Reference-independent comparative metagenomics using cross-assembly - crAss_Dutilh_Bioinformatics,5.6,Bioinformatics,http://jinlong.local:8668/zotero_papers/2012-Reference-independent%20comparative%20metagenomics%20using%20cross-assembly%20-%20crAss_Dutilh_Bioinformatics.pdf,https://academic.oup.com/bioinformatics/article-lookup/doi/10.1093/bioinformatics/bts613,2012-12-01,2019-08-09,Reference-independent comparative metagenomics using cross-assembly: crAss
2014-Viral tagging reveals discrete populations in Synechococcus viral genome sequence space_Deng_Nature,42.8,Nature,http://jinlong.local:8668/zotero_papers/2014-Viral%20tagging%20reveals%20discrete%20populations%20in%20Synechococcus%20viral%20genome%20sequence%20space_Deng_Nature.pdf,http://www.nature.com/articles/nature13459,2014-09-01,2019-08-09,Viral tagging reveals discrete populations in Synechococcus viral genome sequence space
2017-MMseqs2 enables sensitive protein sequence searching for the analysis of massive data sets_Steinegger_Nature Biotechnology,36.6,Nature Biotechnology,http://jinlong.local:8668/zotero_papers/2017-MMseqs2%20enables%20sensitive%20protein%20sequence%20searching%20for%20the%20analysis%20of%20massive%20data%20sets_Steinegger_Nature%20Biotechnology.pdf,http://www.nature.com/articles/nbt.3988,2017-11-01,2019-08-09,MMseqs2 enables sensitive protein sequence searching for the analysis of massive data sets
2018-Joint Analysis of Long and Short Reads Enables Accurate Estimates of Microbiome Complexity_Bankevich_Cell Systems,8.7,Cell Systems,http://jinlong.local:8668/zotero_papers/2018-Joint%20Analysis%20of%20Long%20and%20Short%20Reads%20Enables%20Accurate%20Estimates%20of%20Microbiome%20Complexity_Bankevich_Cell%20Systems.pdf,https://linkinghub.elsevier.com/retrieve/pii/S2405471218302497,2018-08-01,2019-08-09,Joint Analysis of Long and Short Reads Enables Accurate Estimates of Microbiome Complexity
2018-Applications of Deep Learning and Reinforcement Learning to Biological Data_Mahmud_IEEE Transactions on Neural Networks and Learning Systems,8.8,IEEE Transactions on Neural Networks and Learning Systems,http://jinlong.local:8668/zotero_papers/2018-Applications%20of%20Deep%20Learning%20and%20Reinforcement%20Learning%20to%20Biological%20Data_Mahmud_IEEE%20Transactions%20on%20Neural%20Networks%20and%20Learning%20Systems.pdf,https://ieeexplore.ieee.org/document/8277160/,2018-06-01,2019-08-09,Applications of Deep Learning and Reinforcement Learning to Biological Data
